FrameId	Name	dG	Equation
RXN-13117	EC 2.6.1.100	7.8058853	L-glutamine + 2-deoxy-L-scyllo-inosose  <-->  2-oxoglutaramate + 2-deoxy-scyllo-inosamine
RXN-10723	RXN-10723	-48.637	(2Z,4E)-2-amino-6-oxohexa-2,4-dienoate  ->  picolinate + H2O
RXN-8460	EC 1.13.11.29	-72.63414	L-dopa + oxygen  ->  4,5-seco-dopa + H+
RXN-10897	EC 4.1.1.-	1.1482391	5-carboxyvanillate + H+  ->  vanillate + CO2
RXN-3541	EC 1.10.3.3	-111.47748	4 L-ascorbate + oxygen + 4 H+  ->  4 monodehydroascorbate radical + 2 H2O
DHDOGALDOL-RXN	EC 4.1.2.51	2.6399994	2-dehydro-3-deoxy-D-gluconate  <-->  D-glyceraldehyde + pyruvate
1.13.11.41-RXN	EC 1.13.11.41	-122.93825	2,4'-dihydroxyacetophenone + oxygen  ->  formate + 4-hydroxybenzoate + 2 H+
RXN-8483	RXN-8483	-0.5441208	dopaquinone  ->  leucodopachrome + H+
RXN-15579	RXN-15579	7.8200016	L-tyrosine  ->  phenol + 2-aminoprop-2-enoate
1.14.11.21-RXN	EC 1.14.11.21	-109.619995	deoxyamidinoproclavaminate + 2-oxoglutarate + oxygen  ->  amidinoproclavaminate + succinate + CO2
AGMATINE-DEIMINASE-RXN	EC 3.5.3.12	-11.648888	agmatine + H2O  ->  ammonium + N-carbamoylputrescine
RXN-11210	EC 3.5.1.6	3.3610992	3-(carbamoylamino)-2-methylpropanoate + H2O + 2 H+  ->  (R)-3-amino-2-methylpropanoate + ammonium + CO2
PYRIDOXINE-4-OXIDASE-RXN	EC 1.1.3.12	-27.989998	pyridoxine + oxygen  ->  hydrogen peroxide + pyridoxal
RXN-13159	RXN-13159	-372.78796	4 2-aminophenol + 2 oxygen  ->  4 1,2-benzoquinone monoimine + 4 H2O
RXN-9641	RXN-9641	-18.487003	(1Z,2S)-2-methylbutanal oxime  ->  (2S)-methylbutanenitrile + H2O
RXN-14930	EC 2.6.1.105	1.460022	L-lysine + 8-amino-7-oxononanoate  <-->  (S)-2-amino-6-oxohexanoate + 7,8-diaminopelargonate
N-ACYLHEXOSAMINE-OXIDASE-RXN	EC 1.1.3.29	-39.76712	N-acetyl-beta-D-glucosamine + oxygen + H2O  ->  N-acetyl-D-glucosaminate + hydrogen peroxide + H+
RXN-3945	RXN-3945	24.39	isatinate  ->  anthranilate
RXN-12316	EC 1.7.6.1	24.811249	3 nitrite + 2 H+  =  2 nitric oxide + nitrate + H2O
DIHYDROOROT-RXN	EC 3.5.2.3	-6.5312195	(S)-dihydroorotate + H2O  <-->  N-carbamoyl-L-aspartate + H+
RXN-13697	EC 2.6.1.1	2.9700012	L-aspartate + 2-oxoglutarate  <-->  L-glutamate + oxaloacetate
MALEATE-HYDRATASE-RXN	EC 4.2.1.31	-0.09700012	(R)-malate  =  maleate + H2O
RXN-17560	EC 1.13.11.M3	-89.81412	hydroxyquinol + oxygen  =  2,4,6-trioxohexanoate + H+
RXN-17153	RXN-17153	-43.34601	3-[(2-aminophenyl)amino]-2-oxopropanoate  ->  3,4-dihydroquinoxaline-2-carboxylate + H2O
ALDOSE-1-EPIMERASE-RXN	EC 5.1.3.3	0.0	alpha-D-glucopyranose  <-->  beta-D-glucopyranose
RXN-8246	RXN-8246	3.0030003	N-methylaminobutanal  ->  N-methyl-Delta1-pyrrolinium cation + H2O
RXN-17577	EC 3.1.1.M4	-4.4771156	ethyl acetate + H2O  ->  acetate + ethanol + H+
D-GLUTAMATE-OXIDASE-RXN	EC 1.4.3.7/1.4.3.15	-22.341255	D-glutamate + H2O + oxygen  ->  ammonium + 2-oxoglutarate + hydrogen peroxide
2.5.1.45-RXN	EC 2.5.1.45	0.0	putrescine + spermidine  ->  propane-1,3-diamine + sym-homospermidine
RXN-16480	EC 1.13.11.81	-89.02512	7,8-dihydroneopterin + oxygen  =  7,8-dihydroxanthopterin + formate + glycolaldehyde + H+
RXN-11269	RXN-11269	2.6569977	trans-cinnamate + H2O  ->  3-hydroxy-3-phenylpropanoate
RXN-16013	RXN-16013	-3.625885	3-oxopropanoate + H+  ->  acetaldehyde + CO2
RXNQT-4352	RXNQT-4352	-6.0619965	indole-3-carbinonium ion + H2O  ->  indole-3-carbinol + H+
RXN-15192	RXN-15192	-1.1069984	(R)-synephrine  ->  4-[(E)-2-(methylamino)ethenyl]phenol + H2O
RXN-12902	EC 2.1.1.21	-1.5971222	N5-methyl-L-glutamine + L-glutamate + H2O  <-->  L-glutamate + N-methyl-L-glutamate + ammonium
RXN-12205	RXN-12205	-63.283173	indole-3-carboxaldehyde  ->  indole-3-carboxylate
TARTRATE-EPIMERASE-RXN	EC 5.1.2.5	0.0	L-tartrate  =  meso-tartrate
RXN-14541	EC 1.14.11.40	-109.619995	L-enduracididine + 2-oxoglutarate + oxygen  ->  (3S)-3-hydroxy-L-enduracididine + succinate + CO2
RXN66-145	RXN66-145	-44.324482	4-(3-pyridyl)-butanoate  ->  3-pyridylacetate
RXN-14206	EC 1.14.16.1	-89.65799	L-phenylalanine + (6R)-L-erythro-5,6,7,8-tetrahydrobiopterin + oxygen  ->  L-tyrosine + (6R)-6,7-dihydrobiopterin + H2O
RXN-11733	EC 4.1.2.46	25.089998	(2R)-2-hydroxy-2-methylbutanenitrile  ->  hydrogen cyanide + butan-2-one
RXN-18502	EC 4.2.1.172	-17.551125	trans-4-hydroxy-L-proline  ->  (S)-1-pyrroline-5-carboxylate + H2O + H+
RXN-1346	RXN-1346	-1.55	(Z)-3-hexanal  ->  (E)-2-hexenal
S-2-METHYLMALATE-DEHYDRATASE-RXN	EC 4.2.1.34	1.4730072	(S)-citramalate  <-->  mesaconate + H2O
RXN-17611	RXN-17611	-9.620003	tert-butoxymethanol  ->  tert-butyl alcohol + formaldehyde
RXN-10122	RXN-10122	1.9882431	2-fluoromuconate + H+  =  (+)-5-fluoromuconolactone
RXN-16514	RXN-16514	2.3200073	beta-D-galacturonate  ->  aldehydo-D-galacturonate
RXN-9575	RXN-9575	11.159996	mesifurane  <-->  mesifurane (enol form)
RXN-9773	EC 1.13.12.15	-92.62824	2 L-dopa + oxygen  ->  2 3,4-dihydroxyphenylpyruvate + 2 ammonium
RXN-13946	EC 4.3.99.4	24.709997	choline  ->  trimethylamine + acetaldehyde
RXN-13286	EC 4.1.99.-	-8.547127	1-heptanal + H2O  =  n-hexane + formate + H+
METHYLASPARTATE-MUTASE-RXN	EC 5.4.99.1	1.81	(2S, 3S)-3-methylaspartate  <-->  L-glutamate
RXN-8092	EC 1.2.3.1	-44.25712	acetaldehyde + oxygen + H2O  ->  acetate + hydrogen peroxide + H+
RXN-12947	RXN-12947	-4.91	3-hydroxy-4h-pyrid-4-one  ->  3,4-dihydroxypyridin
4.1.99.4-RXN	EC 3.5.99.7	-12.547131	1-aminocyclopropane-1-carboxylate + H2O  ->  ammonium + 2-oxobutanoate
3-OXOADIPATE-ENOL-LACTONASE-RXN	EC 3.1.1.24	-2.9912567	(4,5-dihydro-5-oxofuran-2-yl)-acetate + H2O  ->  3-oxoadipate + H+
GLYOXYLATE-OXIDASE-RXN	EC 1.2.3.5	-39.111237	glyoxylate + oxygen + H2O  ->  oxalate + hydrogen peroxide + H+
RXN-7691	RXN-7691	-14.95713	beta-ketoisocaproate + H2O  ->  isobutanoate + acetate + H+
AMVAL-RXN	EC 3.5.1.-	-1.9830017	5-acetamidovalerate + H2O  ->  5-aminopentanoate + acetate
RXN-15248	RXN-15248	-24.939999	1-aminocyclohexa-3,5-diene-1,2-diol  ->  catechol + ammonium
SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN	EC 2.6.1.45	-3.419983	glyoxylate + L-serine  <-->  hydroxypyruvate + glycine
MHPCHYDROL-RXN	EC 3.7.1.14	-14.587128	(2Z,4E)-2-hydroxy-6-oxonona-2,4-diene-1,9-dioate + H2O  ->  (2Z)-2-hydroxypenta-2,4-dienoate + succinate + H+
THREOSPON-RXN	THREOSPON-RXN	-3.0899925	L-2-amino-3-oxobutanoate + H+  ->  aminoacetone + CO2
1.13.11.15-RXN	EC 1.13.11.15	-73.25824	3,4-dihydroxyphenylacetate + oxygen  ->  2-hydroxy-5-carboxymethylmuconate semialdehyde + H+
ARABINONATE-DEHYDRATASE-RXN	EC 4.2.1.5	-8.166992	D-arabinonate  ->  2-dehydro-3-deoxy-D-arabinonate + H2O
RXN-11519	RXN-11519	-40.852997	theobromine + oxygen + H2O  ->  3,7-dimethylurate + hydrogen peroxide
RXN-10908	EC 1.4.3.4	-4.6129932	(R)-adrenaline + H2O + oxygen  ->  3,4-dihydroxyphenylglycolaldehyde + methylamine + hydrogen peroxide
RXN-8623	EC 1.10.3.-	-97.674	2 dopamine + oxygen  ->  2 dopamine quinone + 2 H2O
MUCONOLACTONE-DELTA-ISOMERASE-RXN	EC 5.3.3.4	-8.569984	(+)-muconolactone  ->  (4,5-dihydro-5-oxofuran-2-yl)-acetate
RXN-36	EC 3.5.1.63	-1.9830017	4-acetamidobutanoate + H2O  ->  4-aminobutanoate + acetate
RXN-48	RXN-48	-46.223812	2-amino-4-carboxypyrimidine + L-alanine  =  lathyrine + CO2 + H2O
DIAMINOPIMEPIM-RXN	EC 5.1.1.7	0.0	L,L-diaminopimelate  <-->  meso-diaminopimelate
1.14.11.1-RXN	EC 1.14.11.1	-109.620026	gamma-butyrobetaine + 2-oxoglutarate + oxygen  ->  L-carnitine + succinate + CO2
RXN-18593	EC 5.3.1.35	-2.4599915	2-dehydro-D-erythronate  <-->  3-dehydro-D-erythronate
RXN-15590	EC 4.2.1.-	-8.166992	L-lyxonate  ->  2-dehydro-3-deoxy-L-arabinonate + H2O
RXN-17533	EC 3.5.99.-	25.75701	(2S)-2-amino-5-iminopentanoate + H2O + H+  ->  L-glutamate-5-semialdehyde + ammonium
3.5.5.2-RXN	EC 3.5.5.2	-0.3601284	ricinine + 2 H2O  ->  ammonium + 3-carboxy-4-methoxy-N-methyl-2-pyridone
RXN-10463	EC 1.5.3.15	-23.453003	N8-acetylspermidine + oxygen + H2O  ->  propane-1,3-diamine + 4-acetamidobutanal + hydrogen peroxide
RXN-14807	RXN-14807	1.5600052	D-arabinofuranose  <-->  D-arabinopyranose
DIHYDRODIPICSYN-RXN	EC 4.3.3.7	-32.025223	pyruvate + L-aspartate-semialdehyde  ->  (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate + H2O + H+
RXN-14645	EC 1.14.17.-	-67.9229	tyramine + L-ascorbate + oxygen + H+  ->  octopamine + L-dehydro-ascorbate + H2O
RXN-19523	EC 1.13.11.ai	-66.11	5-aminosalicylate + oxygen  ->  (2Z,4E)-4-amino-6-oxohepta-2,4-dienedioate
FORMYLASPARTATE-DEFORMYLASE-RXN	EC 3.5.1.8	0.021102905	N-formyl-L-aspartate + H2O  =  L-aspartate + formate
OCTOPAMINE-DEHYDRATASE-RXN	EC 4.2.1.87	-6.689987	octopamine  ->  (4-hydroxyphenyl)acetaldehyde + ammonium
RXN-8829	EC 5.4.4.1	-6.44	4-hydroxylaminotoluene  ->  2-amino-5-methylphenol
RXN-8673	EC 1.4.3.19	-3.7371178	sarcosine + H2O + oxygen  ->  glyoxylate + methylamine + hydrogen peroxide
RXN-17554	EC 2.6.1.8	1.3240967	2-oxoglutarate + (2S)-2,4-diaminopentanedioate  =  L-glutamate + 4-amino-2-oxo-pentanedioate
ACETOIN-RACEMASE-RXN	EC 5.1.2.4	0.0	(S)-acetoin  =  (R)-acetoin
RXN-13569	EC 5.4.3.9	0.0	L-glutamate  <-->  beta-glutamate
RXN-13071	6,3-dihydroxy-2-pyridinone hydrolase	2.4869995	6,3-dihydroxy-2-pyridinone + H2O  ->  2-oxoglutaramate
RXN-17572	EC 3.1.1.M3	-1.0571175	methyl acetate + H2O  ->  acetate + methanol + H+
GALACTONOLACTONASE-RXN	EC 3.1.1.25	-6.347122	D-galactono-1,4-lactone + H2O  ->  D-galactonate + H+
R127-RXN	R127-RXN	11.311878	xanthine + H2O  ->  5-ureidoimidazole-4-carboxylate + H+
OXALOMALATE-LYASE-RXN	EC 4.1.3.13	6.228241	3-oxalomalate  =  glyoxylate + oxaloacetate
RXN-17749	EC 3.1.1.-	6.1071167	L-galactono-1,5-lactone + H2O  ->  aldehydo-L-galactonate + H+
RXN-13091	RXN-13091	-52.804123	5-(dihydroxymethyl)furan-2-carbaldehyde + oxygen  ->  5-formylfuran-2-carboxylate + hydrogen peroxide + H+
5.4.4.1-RXN	EC 5.4.4.1	-6.44	N-phenylhydroxylamine  ->  2-aminophenol
CISTRANON-RXN	CISTRANON-RXN	-66.71	(3E)-3-nonenal + oxygen  ->  4-hydroperoxyoctadeca-t-2-nonenal
RXN-19389	EC 1.14.17.1	-67.92288	4-hydroxyamphetamine + L-ascorbate + oxygen + H+  ->  4-hydroxynorephedrine + L-dehydro-ascorbate + H2O
BENZOYLFORMATE-DECARBOXYLASE-RXN	EC 4.1.1.7	-5.015877	phenylglyoxylate + H+  ->  CO2 + benzaldehyde
RXN-9202	RXN-9202	-23.477657	N-methyl-Delta1-pyrrolinium cation + acetonedicarboxylate + H+  ->  4-(1-methyl-2-pyrrolidinyl)-3-oxobutanoate + CO2
RXN-17607	EC 3.5.5.1	1.1898746	2-hydroxy-2-methylpropanenitrile + 2 H2O  =  2-hydroxy-2-methylpropanoate + ammonium
3-HYDROXYASPARTATE-ALDOLASE-RXN	EC 4.1.3.41	3.1899872	(3S)-3-hydroxy-D-aspartate  =  glycine + glyoxylate
RXN-6267	EC 1.14.11.21	-110.22702	dihydroclavaminate + 2-oxoglutarate + oxygen  ->  clavaminate + CO2 + succinate + H2O
RXN-14101	RXN-14101	-22.234104	6-hydroxyhexan-6-olide  ->  6-oxohexanoate + H+
RXN-11453	EC 1.2.98.1	-16.877129	2 formaldehyde + H2O  =  methanol + formate + H+
RXN-18514	EC 1.1.3.-	-33.659996	2-deoxy-D-glucose + oxygen  ->  2-deoxy-D-glucono-1,5-lactone + hydrogen peroxide
RXN-13126	EC 3.1.1.-	8.397003	(4-hydroxyphenyl)acetate + H2O  ->  hydroquinone + acetate
RXN-14900	EC 3.2.1.170	-1.0130005	2-O-(alpha-D-mannosyl)-D-glycerate + H2O  ->  D-glycerate + alpha-D-mannopyranose
RXN-7933	EC 3.5.1.16	-1.9830017	N-acetyl-L-citrulline + H2O  ->  L-citrulline + acetate
RXN-14747	RXN-14747	2.319992	D-allopyranose  <-->  aldehydo-D-allose
RXN66-221	EC 4.1.1.28	-3.0900116	L-dopa + H+  ->  dopamine + CO2
RXN-14457	EC 3.5.3.25	-8.022995	Nomega-hydroxy-L-arginine + H2O  ->  L-ornithine + hydroxyurea
INDOLE-23-DIOXYGENASE-RXN	EC 1.13.11.17	-89.94	indole + oxygen  ->  2-formylaminobenzaldehyde
RXN-6424	RXN-6424	3.0029984	1-(3-aminopropyl)-4-aminobutanal  ->  1-(3-aminopropyl)-pyrrolinium + H2O
RXN-9983	EC 5.3.2.8	4.95	(1E)-4-oxobut-1-ene-1,2,4-tricarboxylate  <-->  (1E,3E)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate
RXN-8944	RXN-8944	-6.689995	L-alaninol  ->  1-propanal + ammonium
RXN-18112	EC 4.1.1.M8	0.26823425	2-hydroxy-3-carboxy-6-oxo-hepta-2,4-dienoate + H+  ->  2-hydroxy-6-oxohepta-2,4-dienoate + CO2
THREDEHYD-RXN	EC 4.3.1.19	-7.654127	L-threonine  ->  2-oxobutanoate + ammonium
RXN-16948	EC 3.7.1.23	-13.64711	(2E)-3-methyl-4,6-dioxohept-2-enedioate + H2O  ->  citraconate + pyruvate + H+
RXN0-7173	EC 4.2.1.-	-22.027122	glyoxal + H2O  ->  glycolate + H+
R306-RXN	EC 3.7.1.M3	-14.957123	2,4,6-trioxoheptanoate + H2O  ->  acetylpyruvate + acetate + H+
R310-RXN	EC 4.2.1.84	-4.9769936	acrylonitrile + H2O  ->  acrylamide
CARBOXYMETHYLENEBUTENOLIDASE-RXN	EC 3.1.1.45	16.73877	cis-dienelactone + H2O  ->  2-maleylacetate + H+
VALINE-PYRUVATE-AMINOTRANSFER-RXN	EC 2.6.1.66	-1.3099976	pyruvate + L-valine  <-->  L-alanine + 3-methyl-2-oxobutanoate
RXN-10054	RXN-10054	-9.110001	enolaldehyde  ->  methylglyoxal
RXN-19491	EC 5.3.2.1	-4.9500046	(4-hydroxyphenyl)-enolpyruvate  <-->  4-hydroxyphenylpyruvate
R365-RXN	EC 4.3.3.-	-2.7229996	4-hydroxylaminobenzoate + H+ + H2O  ->  protocatechuate + ammonium
FHLMULTI-RXN	FHLMULTI-RXN	5.9941254	formate + H+  ->  CO2 + H2
RXN-13714	EC 3.5.1.101	9.267006	(S)-piperazine-2-carboxamide + H2O  =  (S)-piperazine-2-carboxylate + ammonium
RXN-13523	EC 2.6.1.-	0.91589355	L-alanine + 5-oxooctanal  <-->  8-aminooctan-4-one + pyruvate
RXN-8015	EC 3.5.4.45	-18.423008	melamine + H+ + H2O  ->  ammeline + ammonium
4.3.1.16-RXN	EC 4.3.1.16	-6.0182495	(3S)-3-hydroxy-L-aspartate  =  oxaloacetate + ammonium
RXN-18769	EC 3.2.1.M9	-5.833008	2-O-(alpha-D-glucopyranosyl)glycerol + H2O  ->  D-glucopyranose + glycerol
RXN-14178	EC 5.3.99.11	0.0	scyllo-inosose  <-->  1-keto-D-chiro-inositol
RXN-9337	RXN-9337	46.374123	benzoate + pyruvate  ->  1-phenylpropane-1,2-dione + CO2
RXN-8824	EC 3.7.1.-	-25.348877	4-hydroxy-2-keto-5-methyl-6-oxo-3-hexenoate + H2O  ->  methylmalonate semialdehyde + pyruvate
45-DIHYDROXYPHTHALATE-DECARBOXYLASE-RXN	EC 4.1.1.55	1.1482391	4,5-dihydroxyphthalate + H+  =  CO2 + protocatechuate
L-ASPARTATE-OXID-RXN	EC 1.4.3.16	-53.19825	L-aspartate + oxygen  ->  2-iminosuccinate + hydrogen peroxide + H+
D-LYXOSE-KETOL-ISOMERASE-RXN	EC 5.3.1.15	-0.94	alpha-D-lyxopyranose  =  D-xylulose
RXN-16823	EC 1.11.2.M1	-79.957	indole + hydrogen peroxide  ->  indolin-2-one + H2O
RXN-11564	EC 4.1.1.-	-4.338272	carboxyspermidine + H+  ->  spermidine + CO2
RXN-16488	EC 1.14.11.-	-108.479996	L-leucine + 2-oxoglutarate + oxygen  ->  5-hydroxy-leucine + succinate + CO2
ACETCAPR-RXN	EC 2.6.1.-	1.324089	N6-acetyl-L-lysine + 2-oxoglutarate  <-->  L-glutamate + 2-keto-6-acetamidocaproate
RXN-8841	EC 4.1.1.77	-1.841774	(E)-5-methyl-2-oxo-3-hex-3-enedioate + H+  ->  (4E)-2-oxo-hex-4-enoate + CO2
RXN-13561	1,2,4-benzenetriol synthase	-39.48	hydroquinone  ->  hydroxyquinol
RXN-13065	EC 1.5.3.21	-5.237115	4-methylaminobutanoate + H2O + oxygen  ->  succinate semialdehyde + methylamine + hydrogen peroxide
5.1.1.15-RXN	EC 5.1.1.15	0.0	(S)-2-aminohexano-6-lactam  =  (R)-2-aminohexano-6-lactam
L-RHAMNONATE-DEHYDRATASE-RXN	EC 4.2.1.90	-8.167007	L-rhamnonate  ->  2-dehydro-3-deoxy-L-rhamnonate + H2O
2.6.1.46-RXN	EC 2.6.1.46	-0.9158859	L-2,4-diaminobutanoate + pyruvate  <-->  L-aspartate-semialdehyde + L-alanine
OXALATE-DECARBOXYLASE-RXN	EC 4.1.1.2	-4.2717743	oxalate + H+  ->  formate + CO2
RXN-16309	RXN-16309	-14.127121	2,4-dinitrocyclohexan-1-one + H2O  ->  4,6-dinitrohexanoate + H+
AMIDINOASPARTASE-RXN	EC 3.5.3.14	-4.923004	N-amidino-L-aspartate + H2O  =  urea + L-aspartate
RXN-9562	RXN-9562	-6.926998	norfuraneol + butan-1-al  ->  (2E)-2-butylidene-4-hydroxy-5-methyl-3(2H)-furanone + H2O
LACTATE-RACEMASE-RXN	EC 5.1.2.1	0.4300003	(S)-lactate  <-->  (R)-lactate
RXN-12765	EC 5.3.99.-	-14.6	(S)-2-phenyloxirane  ->  phenylacetaldehyde
RXN-8780	RXN-8780	-6.0	L-sorbosone  ->  L-sorbosone 1,4-lactone
SEPIAPTERIN-DEAMINASE-RXN	EC 3.5.4.24	11.716	sepiapterin + H+ + H2O  =  ammonium + xanthopterin-B2
METHYLITACONATE-DELTA-ISOMERASE-RXN	EC 5.3.3.6	-1.45	(R)-3-methylitaconate  ->  dimethylmaleate
RXN-12087	EC 3.1.1.-	14.397003	vinyl acetate + H2O  ->  allyl alcohol + formate
RXN-34	EC 3.5.3.1	-4.8130035	L-canavanine + H2O  ->  L-canaline + urea + H+
2-METHYLENEGLUTARATE-MUTASE-RXN	EC 5.4.99.4	-1.81	2-methyleneglutarate  ->  (R)-3-methylitaconate
TRANS-EPOXYSUCCINATE-HYDROLASE-RXN	EC 3.3.2.4	-3.6329956	trans-2,3-epoxysuccinate + H2O  =  meso-tartrate
CREATINASE-RXN	EC 3.5.3.3	-9.0130005	creatine + H2O  ->  urea + sarcosine
RXN-6401	EC 4.3.3.-	-7.9741	(R)-pantolactone + beta-alanine  <-->  (R)-pantothenate + H+
1.13.11.47-RXN	EC 1.13.11.47	-93.281	3-hydroxy-1H-quinolin-4-one + oxygen  ->  carbon monoxide + N-formylanthranilate
GUANIDINOPROPIONASE-RXN	EC 3.5.3.17	-3.572998	3-guanidinopropanoate + H2O  =  urea + beta-alanine
RXN-14810	RXN-14810	1.7499924	D-tagatofuranose  <-->  keto-D-tagatose
RXN-13143	2,5-pyridinedicarboxylate synthase	-49.517	(2Z,4Z)-2-amino-5-formylhexa-2,4-dienedioate  ->  2,5-pyridinedicarboxylate + H2O
UREIDOGLYCOLATE-HYDROLASE-RXN	EC 3.5.1.116	-2.4530182	(S)-ureidoglycolate + 2 H+ + H2O  ->  2 ammonium + CO2 + glyoxylate
RXN-12538	EC 1.13.12.19	-107.35463	2-oxoglutarate + oxygen + 2 H+  ->  ethene + 3 CO2 + H2O
RXN-16815	EC 1.1.3.-	-40.1	2-hydroxy-3-[(1E)-3-oxoprop-1-en-1-yl]-2H-pyran-6-carboxylate + oxygen  ->  iso-arabidopaldehyde + hydrogen peroxide
SPONTPRO-RXN	SPONTPRO-RXN	14.681124	(S)-1-pyrroline-5-carboxylate + H+ + H2O  <-->  L-glutamate-5-semialdehyde
MYO-INOSITOL-OXYGENASE-RXN	EC 1.13.99.1	-112.301094	myo-inositol + oxygen  ->  D-glucopyranuronate + H+ + H2O
3.5.2.16-RXN	EC 3.5.2.16	-0.22712326	maleimide + H2O  =  maleamate + H+
RXN3O-1118	RXN3O-1118	-2.657013	3-(4-hydroxyphenyl)lactate  ->  4-coumarate + H2O
1.14.11.28-RXN	EC 1.14.11.28	-111.42	L-proline + 2-oxoglutarate + oxygen  ->  cis-3-hydroxy-L-proline + succinate + CO2
PHENYLSERINE-ALDOLASE-RXN	EC 4.1.2.26	0.13999939	L-threo-3-phenylserine  ->  benzaldehyde + glycine
RXN-11217	EC 3.5.2.2	-6.1471252	hydantoin + H2O  <-->  N-carbamoylglycine + H+
1.3.3.12-RXN	EC 1.3.3.12	-48.60412	L-galactono-1,4-lactone + oxygen  ->  L-ascorbate + hydrogen peroxide + H+
RXN-8956	EC 2.6.1.84	0.084127426	L-arginine + pyruvate  <-->  5-guanidino-2-oxopentanoate + L-alanine
RXN-11381	EC 4.1.2.54	0.5399933	2-dehydro-3-deoxy-L-galactonate  <-->  L-glyceraldehyde + pyruvate
RXN-13680	EC 3.5.1.15	-2.7088928	N-acetyl-L-aspartate + H2O  ->  L-aspartate + acetate
VAGL-RXN	EC 2.6.1.48	0.32411194	5-aminopentanoate + 2-oxoglutarate  <-->  L-glutamate + glutarate semialdehyde
R62-RXN	R62-RXN	-11.6399975	5-aminoimidazole-4-carboxylate  ->  4-aminoimidazole + CO2
