FrameId	Name	Kegg	InChI	Smiles	Gibbs-0
2-CH2-GLUTARATE	2-methyleneglutarate	C02930	InChI=1S/C6H8O4/c1-4(6(9)10)2-3-5(7)8/h1-3H2,(H,7,8)(H,9,10)/p-2	C=C(C([O-])=O)CCC(=O)[O-]	-81.561516
CPD-338	7-oxoheptanoate	C16590	InChI=1S/C7H12O3/c8-6-4-2-1-3-5-7(9)10/h6H,1-5H2,(H,9,10)/p-1	C(=O)([O-])CCCCC[CH]=O	7.270255
HYDROXYMETHYL-ETCETERA-DIHYDROXYCYCLOHEX	5-D-(5/6)-5-<i>C</i>-(hydroxymethyl)-2,6-dihydroxycyclohex-2-en-1-one	C04815	InChI=1S/C7H10O4/c8-3-4-1-2-5(9)7(11)6(4)10/h2,4,6,8-10H,1,3H2/p-1/t4-,6-/m0/s1	C1(C=C([O-])C(=O)C(O)C(CO)1)	-32.381966
CPD-19034	ozone	NIL	InChI=1S/O3/c1-3-2	O=[O+][O-]	-88.8
2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI	aminocarboxymuconate semialdehyde	C04409	InChI=1S/C7H7NO5/c8-5(7(12)13)4(6(10)11)2-1-3-9/h1-3H,8H2,(H,10,11)(H,12,13)/p-2/b2-1+,5-4+	C(=O)([O-])C(=C(C([O-])=O)N)C=C[CH]=O	-96.92264
CPD-11959	<i>N</i>-hydroxy-<i>N</i>-acetylcadaverine	NIL	InChI=1S/C7H16N2O2/c1-7(10)9(11)6-4-2-3-5-8/h11H,2-6,8H2,1H3/p+1	CC(N(CCCCC[N+])O)=O	88.29699
CPD0-2182	L-prolinylglycine	NIL	InChI=1S/C7H14N2O3/c10-7(11)4-9-12-5-6-2-1-3-8-6/h6,8-9H,1-5H2,(H,10,11)/t6-/m0/s1	C(ONCC(=O)O)C1(CCCN1)	79.59569
HMP	4-amino-2-methyl-5-pyrimidinemethanol	C01279	InChI=1S/C6H9N3O/c1-4-8-2-5(3-10)6(7)9-4/h2,10H,3H2,1H3,(H2,7,8,9)	CC1(N=C(C(=CN=1)CO)N)	83.120094
CPD-19	3-hydroxy-5-oxohexanoate	C16272	InChI=1S/C6H10O4/c1-4(7)2-5(8)3-6(9)10/h5,8H,2-3H2,1H3,(H,9,10)/p-1	CC(CC(CC(=O)[O-])O)=O	-56.201973
TARTRATE	L-tartrate	C00898	InChI=1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)/p-2/t1-,2-/m1/s1	C(C(C(C([O-])=O)O)O)([O-])=O	-199.20375
CPD-282	cyclohex-2-enone	C02395	InChI=1S/C6H8O/c7-6-4-2-1-3-5-6/h2,4H,1,3,5H2	C1(CCC(C=C1)=O)	76.978966
AMINOMALONATE	aminomalonate	C00872	InChI=1S/C3H5NO4/c4-1(2(5)6)3(7)8/h1H,4H2,(H,5,6)(H,7,8)/p-1	C([N+])(C(=O)[O-])C(=O)[O-]	-126.597565
CPD-7031	3-methylbutanal	C07329	InChI=1S/C5H10O/c1-5(2)3-4-6/h4-5H,3H2,1-2H3	CC(C)C[CH]=O	71.711205
GLYCOLLATE	glycolate	C00160	InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)/p-1	C(C(=O)[O-])O	-96.398705
SKATOLE	skatole	C08313	InChI=1S/C9H9N/c1-7-6-10-9-5-3-2-4-8(7)9/h2-6,10H,1H3	CC1(C2(C=CC=CC(NC=1)=2))	124.5711
CPD-2542	2-hydroxy-4-carboxymuconate semialdehyde hemiacetal	C05375	InChI=1S/C7H6O6/c8-5-2-3(6(9)10)1-4(13-5)7(11)12/h1-2,5,8H,(H,9,10)(H,11,12)/p-2	C(=O)([O-])C1(C=C(C([O-])=O)OC(O)C=1)	-180.91376
CPD-18779	(S)-4-deoxygadusol	NIL	InChI=1S/C8H12O5/c1-13-7-5(10)2-8(12,4-9)3-6(7)11/h9-10,12H,2-4H2,1H3/t8-/m0/s1	COC1(=C(O)CC(CO)(O)CC(=O)1)	-44.59656
SALICYLAMIDE	salicylamide	D01811	InChI=1S/C7H7NO2/c8-7(10)5-3-1-2-4-6(5)9/h1-4,9H,(H2,8,10)	C1(=CC(C(=O)N)=C(C=C1)O)	21.807838
CPD-233	L-&beta;-lysine	C01142	InChI=1S/C6H14N2O2/c7-3-1-2-5(8)4-6(9)10/h5H,1-4,7-8H2,(H,9,10)/p+1/t5-/m0/s1	C([N+])CCC(CC(=O)[O-])[N+]	69.714745
CPD-18730	1,6,8-trimethylallantoate	NIL	InChI=1S/C7H14N4O4/c1-8-6(14)10-4(5(12)13)11(3)7(15)9-2/h4H,1-3H3,(H,9,15)(H,12,13)(H2,8,10,14)/p-1	CNC(=O)NC(C([O-])=O)N(C)C(=O)NC	-38.2575
CPD-21072	3-hydroxy-3-methylhexanoate	NIL	InChI=1S/C7H14O3/c1-3-4-7(2,10)5-6(8)9/h10H,3-5H2,1-2H3,(H,8,9)/p-1	CCCC(C)(CC(=O)[O-])O	13.292506
CPD-9438	(<i>S</i>)-2-hydroxymethylglutarate	C16390	InChI=1S/C6H10O5/c7-3-4(6(10)11)1-2-5(8)9/h4,7H,1-3H2,(H,8,9)(H,10,11)/p-2/t4-/m0/s1	C(O)C(CCC([O-])=O)C([O-])=O	-116.839264
8-HYDROXYQUINOLINE	8-hydroxyquinoline	C19434	InChI=1S/C9H7NO/c11-8-5-1-3-7-4-2-6-10-9(7)8/h1-6,11H	C1(=NC2(=C(C=C1)C=CC=C(O)2))	69.09884
CPD-661	propynoate	C00804	InChI=1S/C3H2O2/c1-2-3(4)5/h1H,(H,4,5)/p-1	C#CC([O-])=O	29.159061
CPD-1128	1-pyrroline-4-hydroxy-2-carboxylate	C04282	InChI=1S/C5H7NO3/c7-3-1-4(5(8)9)6-2-3/h3,7H,1-2H2,(H,8,9)/p-1	C1(N=C(C([O-])=O)CC(O)1)	-50.935333
CPD-9383	glycine methyl ester	NIL	InChI=1S/C3H7NO2/c1-6-3(5)2-4/h2,4H2,1H3	C([NH2])C(=O)OC	-3.3921611
ADENINE	adenine	C00147	InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)	C1(N)(N=CN=C2(NC=NC=12))	125.6056
GUANINE	guanine	C00242	InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)	C2(=NC1(=C(N=C(NC(=O)1)N)N2))	36.0766
DIMETHYLBENZIMIDAZOLE	5,6-dimethylbenzimidazole	C03114	InChI=1S/C9H10N2/c1-6-3-8-9(4-7(6)2)11-5-10-8/h3-5H,1-2H3,(H,10,11)	CC2(C(C)=CC1(=C(N=CN1)C=2))	132.4522
CPD-18495	5-methoxy-6-methylbenzimidazole	NIL	InChI=1S/C9H10N2O/c1-6-3-7-8(11-5-10-7)4-9(6)12-2/h3-5H,1-2H3,(H,10,11)	CC2(=CC1(=C(N=CN1)C=C2OC))	109.252205
CPD-637	6-methylsalicylate	C02657	InChI=1S/C8H8O3/c1-5-3-2-4-6(9)7(5)8(10)11/h2-4,9H,1H3,(H,10,11)/p-1	CC1(C(=C(C=CC=1)O)C([O-])=O)	-22.574223
CYTOSINE	cytosine	C00380	InChI=1S/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8)	C1(NC(=O)N=C(N)C=1)	19.9056
PSEUDOTROPINE	pseudotropine	C02066	InChI=1S/C8H15NO/c1-9-6-2-3-7(9)5-8(10)4-6/h6-8,10H,2-5H2,1H3/p+1/t6-,7+,8-	C[N+]1(C2(CC(O)CC1CC2))	135.27588
DIETHYL-2-METHYL-3-OXOSUCCINATE	diethyl-2-methyl-3-oxosuccinate	C04067	InChI=1S/C9H14O5/c1-4-13-8(11)6(3)7(10)9(12)14-5-2/h6H,4-5H2,1-3H3	CCOC(=O)C(C)C(=O)C(=O)OCC	-35.37432
CPD-15531	5-hydroxymethylcytosine	NIL	InChI=1S/C5H7N3O2/c6-4-3(2-9)1-7-5(10)8-4/h1,9H,2H2,(H3,6,7,8,10)	C1(=C(CO)C(N)=NC(=O)N1)	2.5878403
CPD-595	1,4-diguanidinobutane	C03047	InChI=1S/C6H16N6/c7-5(8)11-3-1-2-4-12-6(9)10/h1-4H2,(H4,7,8,11)(H4,9,10,12)/p+2	C(CCCNC(N)=[N+])NC(N)=[N+]	201.19196
CPD-18273	(2E)-3-methyl-4,6-dioxohept-2-enedioate	NIL	InChI=1S/C8H8O6/c1-4(2-7(11)12)5(9)3-6(10)8(13)14/h2H,3H2,1H3,(H,11,12)(H,13,14)/p-2/b4-2+	CC(C(CC(=O)C([O-])=O)=O)=CC([O-])=O	-136.79152
URACIL	uracil	C00106	InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)	C1(=CC(NC(=O)N1)=O)	-28.995518
5-KETO-4-DEOXY-D-GLUCARATE	5-dehydro-4-deoxy-D-glucarate	C00679	InChI=1S/C6H8O7/c7-2(4(9)6(12)13)1-3(8)5(10)11/h2,4,7,9H,1H2,(H,10,11)(H,12,13)/p-2/t2-,4+/m0/s1	C(C(CC(C(C([O-])=O)O)O)=O)([O-])=O	-202.9815
CPD-4841	dipicolinate	NIL	InChI=1S/C7H5NO4/c9-6(10)4-2-1-3-5(8-4)7(11)12/h1-3H,(H,9,10)(H,11,12)/p-2	C1(C=C(N=C(C=1)C(=O)[O-])C(=O)[O-])	-110.29488
CPD0-1616	S-2,3-dicarboxyaziridine	NIL	InChI=1S/C4H5NO4/c6-3(7)1-2(5-1)4(8)9/h1-2,5H,(H,6,7)(H,8,9)	[CH]1(C(=O)O)([CH](C(=O)O)N1)	-68.9844
OROTATE	orotate	C00295	InChI=1S/C5H4N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h1H,(H,9,10)(H2,6,7,8,11)/p-1	C1(=C(C([O-])=O)NC(NC(=O)1)=O)	-122.208694
D-XYLONATE	D-xylonate	C00502	InChI=1S/C5H10O6/c6-1-2(7)3(8)4(9)5(10)11/h2-4,6-9H,1H2,(H,10,11)/p-1/t2-,3+,4-/m1/s1	C(=O)([O-])C(O)C(O)C(O)CO	-140.11198
CPD-1821	<i>sym</i>-homospermidine	C06366	InChI=1S/C8H21N3/c9-5-1-3-7-11-8-4-2-6-10/h11H,1-10H2/p+3	C(CCC[N+]CCCC[N+])[N+]	250.10837
CPD-15778	5-(hydroxymethyl)-2-methyl-4(1H)-pyrimidinone	NIL	InChI=1S/C6H8N2O2/c1-4-7-2-5(3-9)6(10)8-4/h2,9H,3H2,1H3,(H,7,8,10)	CC1(N=C(O)C(CO)=CN=1)	29.308966
5-AMINOPENTANOATE	5-aminopentanoate	C00431	InChI=1S/C5H11NO2/c6-4-2-1-3-5(7)8/h1-4,6H2,(H,7,8)	C(CC[N+])CC(=O)[O-]	30.112318
CPD-13577	formylaminopyrimidine	C19872	InChI=1S/C7H10N4O/c1-5-10-3-6(2-9-4-12)7(8)11-5/h3-4H,2H2,1H3,(H,9,12)(H2,8,10,11)	CC1(=NC(=C(CNC=O)C=N1)N)	100.69121
CPD-14150	2-isopropylphenol	NIL	InChI=1S/C9H12O/c1-7(2)8-5-3-4-6-9(8)10/h3-7,10H,1-2H3	CC(C)C1(C=CC=CC(O)=1)	113.15345
CPD-18064	3,8-dideoxy-8-oxo-&alpha;-D-manno-octulosonate	NIL	InChI=1S/C8H12O8/c9-2-4(11)6-5(12)3(10)1-8(15,16-6)7(13)14/h2-6,10-12,15H,1H2,(H,13,14)/p-1/t3-,4-,5-,6-,8-/m1/s1	C(=O)C(O)[CH]1(OC(O)(C([O-])=O)CC(C1O)O)	-173.47974
4-hydroxy-2-1H-quinolone	4-hydroxy-2(1<i>H</i>)-quinolone	C16716	InChI=1S/C9H7NO2/c11-8-5-9(12)10-7-4-2-1-3-6(7)8/h1-5H,(H2,10,11,12)	C2(C=CC1(NC(=O)C=C(O)C=1C=2))	20.228842
PYRIMIDINE-RING	pyrimidine	C00396	InChI=1S/C4H4N2/c1-2-5-4-6-3-1/h1-4H	C1(=CC=NC=N1)	67.19449
CPD-14096	6-hydroxy-3-succinoyl-pyridine	NIL	InChI=1S/C9H9NO4/c11-7(2-4-9(13)14)6-1-3-8(12)10-5-6/h1,3,5H,2,4H2,(H,10,12)(H,13,14)/p-1	C1(=C(C(CCC(=O)[O-])=O)C=CC(O)=N1)	-38.543095
CREATININE	creatinine	C00791	InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)	CN1(CC(=O)NC(=N)1)	64.98784
N3-OXALYL-L-23-DIAMINOPROPANOATE	<i>N</i>-3-oxalyl-L-2,3-diaminopropanoate	C04209	InChI=1S/C5H8N2O5/c6-2(4(9)10)1-7-3(8)5(11)12/h2H,1,6H2,(H,7,8)(H,9,10)(H,11,12)/p-1/t2-/m0/s1	C(NC(=O)C([O-])=O)C([N+])C([O-])=O	-123.90423
CPD-13578	aminomethylpyrimidine	NIL	InChI=1S/C6H10N4/c1-4-9-3-5(2-7)6(8)10-4/h3H,2,7H2,1H3,(H2,8,9,10)/p+1	CC1(=NC(=C(C[N+])C=N1)N)	138.60027
CPD-8817	p-aminosalicylate	C02518	InChI=1S/C7H7NO3/c8-4-1-2-5(7(10)11)6(9)3-4/h1-3,9H,8H2,(H,10,11)/p-1	C(C1(C(=CC(=CC=1)N)O))([O-])=O	-27.155338
CPD-13483	4-aminophenylalanine	NIL	InChI=1S/C9H12N2O2/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,8H,5,10-11H2,(H,12,13)	C(=O)([O-])C([N+])CC1(C=CC(N)=CC=1)	76.26344
CPD0-1498	N-amino DAP	NIL	InChI=1S/C7H15N3O4/c8-4(6(11)12)2-1-3-5(10-9)7(13)14/h4-5,10H,1-3,8-9H2,(H,11,12)(H,13,14)/p-1	C(CC([N+])C(=O)[O-])CC(NN)C(=O)[O-]	-1.4063847
N-METHYLANILINE	<i>N</i>-methylaniline	C02299	InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3	CNC1(C=CC=CC=1)	130.8901
4-AMINO-BUTYRATE	4-aminobutanoate	C00334	InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)	C(C[N+])CC([O-])=O	7.95009
CPD-1041	(<i>Z</i>)-[(4-hydroxyphenyl)acetaldehyde oxime]	C04353	InChI=1S/C8H9NO2/c10-8-3-1-7(2-4-8)5-6-9-11/h1-4,6,10-11H,5H2/b9-6-	C(CC1(=CC=C(C=C1)O))=NO	57.480095
PIPERAZINE	piperazine	C07973	InChI=1S/C4H10N2/c1-2-6-4-3-5-1/h5-6H,1-4H2/p+1	C1(C[N+]CCN1)	131.57027
CPD-12925	trihydroxypyrazine	NIL	InChI=1S/C4H4N2O3/c7-2-1-5-3(8)4(9)6-2/h1H,(H,5,8)(H2,6,7,9)	C1(O)(=NC(O)=C(O)N=C1)	-51.245518
URATE	urate	C00366	InChI=1S/C5H4N4O3/c10-3-1-2(7-4(11)6-1)8-5(12)9-3/h(H4,6,7,8,9,10,11,12)	C12(NC(=O)NC=1C(=O)NC(=O)N2)	-44.21552
CPD-15041	biurate	NIL	InChI=1S/C5H4N4O3/c10-3-1-2(7-4(11)6-1)8-5(12)9-3/h(H4,6,7,8,9,10,11,12)/p-1	C12(NC(=O)NC=1C(=O)[N-]C(O)=N2)	-91.9477
CPD0-1431	benzylguanidine	NIL	InChI=1S/C8H11N3/c9-8(10)11-6-7-4-2-1-3-5-7/h1-5H,6H2,(H4,9,10,11)/p+1	C([N+]=C(N)N)C1(C=CC=CC=1)	186.44139
N-ACETYL-L-24-DIAMINOBUTANOATE	(2S)-4-acetamido-2-aminobutanoate	C06442	InChI=1S/C6H12N2O3/c1-4(9)8-3-2-5(7)6(10)11/h5H,2-3,7H2,1H3,(H,8,9)(H,10,11)/t5-/m0/s1	CC(=O)NCCC([N+])C(=O)[O-]	6.373448
CPD-12993	methoxyacetate	NIL	InChI=1S/C3H6O3/c1-6-2-3(4)5/h2H2,1H3,(H,4,5)/p-1	C(=O)([O-])COC	-57.28646
MONOMETHYL-ESTER-OF-TRANS-ACONITATE	(E)-3-(methoxycarbonyl)pent-2-enedioate	C11514	InChI=1S/C7H8O6/c1-13-7(12)4(2-5(8)9)3-6(10)11/h2H,3H2,1H3,(H,8,9)(H,10,11)/p-2/b4-2+	COC(=O)C(CC(=O)[O-])=CC(=O)[O-]	-157.75153
3-HYDROXY-PROPIONATE	3-hydroxypropanoate	C01013	InChI=1S/C3H6O3/c4-2-1-3(5)6/h4H,1-2H2,(H,5,6)/p-1	C(CO)C([O-])=O	-72.85645
CPD-10096	indene oxide	NIL	InChI=1S/C9H8O/c1-2-4-7-6(3-1)5-8-9(7)10-8/h1-4,8-9H,5H2	C3(C=C2(C(C1(OC1C2))=CC=3))	91.68897
MALONATE	malonate	C00383	InChI=1S/C3H4O4/c4-2(5)1-3(6)7/h1H2,(H,4,5)(H,6,7)/p-2	C(C([O-])=O)C([O-])=O	-145.28601
3-CARBOXY-3-HYDROXY-ISOCAPROATE	(2<i>S</i>)-2-isopropylmalate	C02504	InChI=1S/C7H12O5/c1-4(2)7(12,6(10)11)3-5(8)9/h4,12H,3H2,1-2H3,(H,8,9)(H,10,11)/p-2/t7-/m0/s1	CC(C)C(O)(CC(=O)[O-])C([O-])=O	-99.71703
CPD0-1240	monofluoromethylornithine	NIL	InChI=1S/C6H13FN2O2/c7-4-6(9,5(10)11)2-1-3-8/h1-4,8-9H2,(H,10,11)/p+1	C(F)C(C(=O)[O-])([N+])CCC[N+]	61.483624
CPD-16855	2-<i>O</i>-(&alpha;-D-glucopyranosyl)glycerol	C11546	InChI=1S/C9H18O8/c10-1-4(2-11)16-9-8(15)7(14)6(13)5(3-12)17-9/h4-15H,1-3H2/t5-,6-,7+,8-,9+/m1/s1	C(O)C(CO)OC1(OC(CO)C(O)C(O)C(O)1)	-89.77983
25-DIDEHYDRO-D-GLUCONATE	2,5-didehydro-D-gluconate	C02780	InChI=1S/C6H8O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h3-4,7,9-10H,1H2,(H,12,13)/p-1/t3-,4+/m1/s1	C(C(C(C(C(C([O-])=O)=O)O)O)=O)O	-178.57423
CPD-12506	O(2),1,7,9-tetramethylurate	NIL	InChI=1S/C9H12N4O3/c1-11-5-6(12(2)9(11)15)10-8(16-4)13(3)7(5)14/h1-4H3	CN1(C(=O)N(C)C2(=C1C(=O)N(C)C(OC)=N2))	54.27445
CPD-19395	&gamma;-L-glutamyl-glycylglycine	NIL	InChI=1S/C9H15N3O6/c10-5(9(17)18)1-2-6(13)11-3-7(14)12-4-8(15)16/h5H,1-4,10H2,(H,11,13)(H,12,14)(H,15,16)(H,17,18)/p-1/t5-/m0/s1	C(NC(CCC(C(=O)[O-])[N+])=O)C(NCC(=O)[O-])=O	-81.80637
2-hydroxy-4-1H-quinolone	2-hydroxy-4(1<i>H</i>)-quinolone	NIL	InChI=1S/C9H7NO2/c11-8-5-9(12)10-7-4-2-1-3-6(7)8/h1-5H,(H2,10,11,12)	C2(C=CC1(NC(O)=CC(=O)C=1C=2))	34.528843
CPD0-2399	tricine	NIL	InChI=1S/C6H13NO5/c8-2-6(3-9,4-10)7-1-5(11)12/h7-10H,1-4H2,(H,11,12)	C(O)C(CO)([N+]CC(=O)[O-])CO	-54.52544
CPD-16491	2,6-diamino-4-hydroxy-5-(<i>N</i>-methyl)formamidopyrimidine	C04744	InChI=1S/C6H9N5O2/c1-11(2-12)3-4(7)9-6(8)10-5(3)13/h2H,1H3,(H5,7,8,9,10,13)	CN([CH]=O)C1(C(O)=NC(N)=NC(N)=1)	40.860092
ITACONATE	itaconate	C00490	InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h1-2H2,(H,6,7)(H,8,9)/p-2	C=C(C(=O)[O-])CC([O-])=O	-103.723755
XANTHINE-8-CARBOXYLATE	xanthine-8-carboxylate	C03314	InChI=1S/C6H4N4O4/c11-4-1-2(9-6(14)10-4)8-3(7-1)5(12)13/h(H,12,13)(H3,7,8,9,10,11,14)/p-1	C12(NC(NC(C=1NC(C(=O)[O-])=N2)=O)=O)	-120.25771
CARBON-DIOXIDE	CO<SUB>2</SUB>	C00011	InChI=1S/CO2/c2-1-3	C(=O)=O	-92.26
CPD0-2339	aminoacrylate	NIL	InChI=1S/C3H5NO2/c4-2-1-3(5)6/h1-2H,4H2,(H,5,6)/p-1/b2-1-	[CH](N)=CC(=O)[O-]	-16.237576
CPD-16172	O-aminobenzaldehyde	NIL	InChI=1S/C7H7NO/c8-7-4-2-1-3-6(7)5-9/h1-5H,8H2	C(C1(C(=CC=CC=1)N))=O	75.60784
IPRONIAZID	iproniazid	C11777	InChI=1S/C9H13N3O/c1-7(2)11-12-9(13)8-3-5-10-6-4-8/h3-7,11H,1-2H3,(H,12,13)	CC(C)NNC(=O)C1(C=CN=CC=1)	136.94456
CPD-19086	2-methyl-butan-2,3-diol	NIL	InChI=1S/C5H12O2/c1-4(6)5(2,3)7/h4,6-7H,1-3H3	CC(O)C(C)(C)O	41.50345
2-CARBOXY-D-ARABINITOL	2-carboxy-D-arabinitol	C03215	InChI=1S/C6H12O7/c7-1-3(9)4(10)6(13,2-8)5(11)12/h3-4,7-10,13H,1-2H2,(H,11,12)/p-1/t3-,4-,6-/m1/s1	C(C(C(C(C([O-])=O)(CO)O)O)O)O	-157.40971
CPD-334	2,3-dioxo-L-gulonate	NIL	InChI=1S/C6H8O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-3,7-9H,1H2,(H,12,13)/p-1/t2-,3+/m0/s1	C(C(C(C(C(C([O-])=O)=O)=O)O)O)O	-176.11424
BENZYLAMINE	benzylamine	C15562	InChI=1S/C7H9N/c8-6-7-4-2-1-3-5-7/h1-5H,6,8H2/p+1	C(C1(C=CC=CC=1))[N+]	129.36916
CPD-7233	phenylacetone	C15512	InChI=1S/C9H10O/c1-8(10)7-9-5-3-2-4-6-9/h2-6H,7H2,1H3	CC(CC1(C=CC=CC=1))=O	103.88121
HYDROXYBENZOQUINONE	2-hydroxy-1,4-benzoquinone	C07103	InChI=1S/C6H4O3/c7-4-1-2-5(8)6(9)3-4/h1-3,9H/p-1	C1(=CC(=O)C([O-])=CC(=O)1)	-43.858704
CPD-19022	fluoroethene	C19185	InChI=1S/C2H3F/c1-2-3/h2H,1H2	C=CF	50.483368
CPD-9665	valienone	C17696	InChI=1S/C7H10O5/c8-2-3-1-4(9)6(11)7(12)5(3)10/h1,5-8,10-12H,2H2/t5-,6+,7+/m1/s1	C(O)C1(C(O)C(O)C(O)C(=O)C=1)	-70.338806
HISTAMINE	histamine	C00388	InChI=1S/C5H9N3/c6-2-1-5-3-7-4-8-5/h3-4H,1-2,6H2,(H,7,8)/p+1	C1(=C(NC=N1)CC[N+])	124.599144
CPD-28	N-methylmaleimide	NIL	InChI=1S/C5H5NO2/c1-6-4(7)2-3-5(6)8/h2-3H,1H3	CN1(C(C=CC1=O)=O)	9.125601
CPD-11771	quisqualate	NIL	InChI=1S/C5H7N3O5/c6-2(3(9)10)1-8-4(11)7-5(12)13-8/h2H,1,6H2,(H,9,10)(H,7,11,12)	C(=O)(O)C(N)CN1(C(=O)NC(=O)O1)	-98.032166
CPD-15422	3-amino-4,7-dihydroxy-coumarin	C12468	InChI=1S/C9H7NO4/c10-7-8(12)5-2-1-4(11)3-6(5)14-9(7)13/h1-3,11-12H,10H2	C2(C(O)=CC1(OC(=O)C(N)=C(O)C=1C=2))	-46.332165
GLUTARIMIDE	glutarimide	C07275	InChI=1S/C5H7NO2/c7-4-2-1-3-5(8)6-4/h1-3H2,(H,6,7,8)	C1(CCCC(N1)=O)=O	13.117842
CPD-18795	valienol	NIL	InChI=1S/C7H12O5/c8-2-3-1-4(9)6(11)7(12)5(3)10/h1,4-12H,2H2/t4-,5+,6-,7-/m0/s1	C(O)C1(C(O)C(O)C(O)C(O)C=1)	-54.80656
CPD-2483	L-cycloserine	C06682	InChI=1S/C3H6N2O2/c4-2-1-7-5-3(2)6/h2H,1,4H2,(H,5,6)/p+1/t2-/m0/s1	C1(ONC(=O)C([N+])1)	-1.4642199
CPD0-2059	2,3,4-trihydroxybenzoate	NIL	InChI=1S/C7H6O5/c8-4-2-1-3(7(11)12)5(9)6(4)10/h1-2,8-10H,(H,11,12)	C(=O)(O)C1(C=CC(O)=C(O)C(O)=1)	-102.06328
FMPP	FMPP	NIL	InChI=1S/C7H7FN4O/c8-1-3-2-10-5-4(3)6(13)12-7(9)11-5/h2H,1H2,(H4,9,10,11,12,13)	C(F)C1(=CNC2(=C1C(=O)NC(N)=N2))	61.018845
